Name,Date,Review,Rating
max57,2024-03-15T14:28:03+03:00,"Здравствуйте. Как хорошо всё начиналось: бизнес-класс, проект от бюро Speech, шикарные холлы, закрытая территория двора, закрытый стилобат на уровне 6-го этажа (прогулочная зона), подземный паркинг, мойка колёс при въезде, выход в ТЦ и метро непосредственно...
Достоинства: Достоинства: Шикарные концепции и маркетинг для реализации недвижимости в Жилых комплексах
Недостатки: Недостатки: Серьёзные недостатки и ошибки в реализации, некомпетентное обслуживание и решение гарантийных случаев",2
CosmeticFan,2025-03-29T11:48:45+03:00,"Золотое правило приемки объекта от застройщика - указать выявленные при приемке явные недостатки в акте, ну а далее действовать согласно действующему гражданскому законодательству. И в этом ""далее"" неизбежно повылезают еще и скрытые недостатки заветной «бетонной...
Достоинства: Достоинства: Монолит, современный дизайн, стильное оформление фойе, подземный паркинг.
Недостатки: Недостатки: Отвратительная система вентиляции, бесконечное срабатывание пожарной сигнализации, герметизация наружных стен нарушена, оконные стыки продуваются.",3
miminoha,2025-03-19T10:22:02+03:00,"Добрый день. Хочу обратиться с жалобой по поводу качества ваших построенных ЖК. В частности : ЖК Дискавери парк по адресу: ул. Дыбенко д. 7/1. Купила сыну квартиру в этом ЖК. Приобретала на стадии котлована. Позиционировали...
Достоинства: Достоинства: Выход к метро
Недостатки: Недостатки: Жара на площадках до 40 градусов, чем выше этаж, тем жарче",1
MaxML,2024-05-10T10:37:31+03:00,"Негативный опыт взаимодействия с менеджером продаж, действующим в интересах MR Group. Конкретно с одним менеджером - Еленой Казаниной. При выборе объекта (квартиры) в ЖК Cityzen меня прикрепили к данному менеджеру. Данный менеджер, как позже выяснилось...
Достоинства: Достоинства: Нет
Недостатки: Недостатки: Плохая организация продаж",1
Мирослава5896,2023-11-21T18:12:20+03:00,"Жилой комплекс Селигер Сити - это место, которое является одновременно и моим домом, и местом моей силы. Я живу здесь не первый год, а моя любовь все сильнее и сильнее. Одним из главных преимуществ Селигер...
Достоинства: Достоинства: прекрасный двор-парк, атмосфера уюта
Недостатки: Недостатки: нет",5
OlgaVG82,2024-07-25T11:08:59+03:00,"Уже два года занимаются отписками. Не меняют подоконник который сами испортили. На все обращения отвечают, что «обращение будет рассмотрено или перенаправлено, ждите ответа с вами свяжутся.» Еще во время каждого сильного дождя в моей квартире...
Достоинства: Достоинства: Новая квартира
Недостатки: Недостатки: Не исполнение гарантийных обязательств.",1
Dromeo,2024-07-09T14:50:25+03:00,"Самый лживый застройщик. В ответ на все претензии есть два стандартных ответа. 1. Продажники Вам наобещают, Вы их больше слушайте. 2. У нас изменился проект. На втором (или другом) этаже к клиента проблема еще хуже...
Достоинства: Достоинства: Нет
Недостатки: Недостатки: Менеджеры компании МР групп обманывают своих клиентов.",1
AntonRogov,2023-11-28T17:48:52+03:00,"На выходных я посетил жилой комплекс ""Метрополия"" от МР Групп и был приятно удивлен тем, насколько профессионально и внимательно менеджер по продажам выслушал мои запросы и предложил мне оптимальные варианты квартир. Он не просто пытался...
Достоинства: Достоинства: удобное расположение, безопасность
Недостатки: Недостатки: нет",5
Аноним1939717,2024-10-25T14:29:50+03:00,"отдел по работе с партнёрами. У застройщика работает дама по имена Марина Мажара. Я такого хамства за последние лет 20 просто никогда не встречала. Нет уже такого даже на рынке. По телефону она орёт. Даже...
Достоинства: Достоинства: нет
Недостатки: Недостатки: что указала",1
Evgeniyaml,2024-06-19T11:24:01+03:00,"Доход у меня средний, возможности тоже. Но мы в этом году все же решили купить новую квартиру. Прежняя в подуставшем доме, да и побольше уже жилье нужно было. Стали искать в Видном варианты. Перебрали много...
Достоинства: Достоинства: паркинг, школа, сады, плавательный центр
Недостатки: Недостатки: нет",5
Максим Логинов45,2024-06-17T13:33:50+03:00,"Мы проживаем не в Москве, в Видном. Эко Видное 2 выбрали по ряду причин. Хочу не про это сейчас сказать, про другое. Считаю, нам повезло с застройщиком, потому что свои обещания он выполняет. Строят школу...
Достоинства: Достоинства: застройщик выполняет свои обещания, соблюдение сроков сдачи, хорошее благоустройство
Недостатки: Недостатки: нет",5
Azepsut,2024-04-01T16:26:27+03:00,"Как известно, театр начинается с вешалки, а мнение о застройщике складывается на основе опыта общения с менеджерами отдела продаж и тут диалог не заладился сразу. Или мне так не повезло с менеджером, я не знаю...
Достоинства: Достоинства: Красивые рендеры проектов
Недостатки: Недостатки: Ужасный отдел продаж, ужасное отношение к клиентам",1
Katerinka1406,2024-06-07T15:18:45+03:00,"Мы живем в Видном в комплексе, котороый строит как раз МР Групп. Купили собственно потому что искали у себя в городе варианты от надежного застройщика. Наш дом был первым, который тут построили. Поначалу не хватало...
Достоинства: Достоинства: открыт садик, свои магазины у дома, закрытые дворы без машин.
Недостатки: Недостатки: ЖК еще в процессе строительства.",5
Кристи7,2023-11-10T18:40:09+03:00,"Мнение о МР групп резко шлепнулось на пол и закатилось под плинтус после случая с хамством, а главное - нежелания отвечать за него. Если у вас, как у купившего квартиру, возникнут проблемы или вопросы, то...
Достоинства: Достоинства: Не знаю, я их не заметила
Недостатки: Недостатки: Хамство и отсутствие ответов от застройщика",1
firefox1112,2023-12-26T12:48:32+03:00,"Ждал начала продаж именно второй очереди в ЖК Slava. Дело в том, что именно там будут квартиры, а не апартаменты. Мне был принципиально важен вопрос с пропиской. Хотя тут оговюсь, дабы никого не обидеть и...
Достоинства: Достоинства: базовая отделка, локация, застройщик.
Недостатки: Недостатки: нет",5
denisrbd,2023-11-30T15:54:37+03:00,"Качество домов мр - это просто самый высокий уровень. Я впечатлен архитектурой, материалами высокого качества и продуманной планировкой квартир. Каждая деталь была тщательно продумана и выполнена профессионально. Отдельно хочется отметить сервис, который предоставляет МР групп...
Достоинства: Достоинства: качество домов, сервис
Недостатки: Недостатки: нет",5
Симонова Лариса,2023-04-06T14:16:06+03:00,"Первый раз столкнулась с программной лояльности у застройщика. Ну то есть если в продуктовых, салонах красоты и других местах я к этому уже привыкла, то тут это было в абсолютную новинку. Когда покупала квартиру, то...
Достоинства: Достоинства: Качество строительства, архитектура, программа лояльности
Недостатки: Недостатки: нет",5
ЕвгенийФ1,2023-07-26T19:10:22+03:00,"Недавно купил квартиру от застройщика МР Групп в ЖК Павелецкая Сити. Сыграли свою роль три основных фактора: - Местоположение ЖК Павелецкая Сити, безусловно, одно из его сильных преимуществ. Близко к деловому центру и культурным объектам...
Достоинства: Достоинства: удобное местоположение, архитектура
Недостатки: Недостатки: нет",5
ПавелЖуков,2023-06-27T14:36:26+03:00,"На это у меня был ряд причин) Во-первых, я слышал много хороших отзывов от друзей и знакомых, которые уже приобрели недвижимость у этого застройщика. Во-вторых, после того как я впервые посетил их офис в Москве...
Достоинства: Достоинства: ценят своих клиентов
Недостатки: Недостатки: нет",5
Lidiya Martseva,2023-01-09T17:02:40+03:00,"Недавно ездила в офис мр, чтобы поближе познакомиться с застройщиком. Сразу предупредила, что квартиру покупать прямо сейчас не планирую. Тем не менее, мне показали все преимущества жк, подробно рассказали о всех используемых материалах, ознакомили с...
Достоинства: Достоинства: Выстроенная репутация, хорошее качество строительства, большой выбор жк и квартир, хорошее отношение к клиентам
Недостатки: Недостатки: Не выявлено",5
VanLaz,2022-08-23T15:12:52+03:00,"Мало, кто делает акцент на заботе о своих покупателях после закрытия сделки, поэтому программа лояльности от MR Group нас приятно удивила. Так, что захотелось поделиться подробностями. Итак, программа лояльности называется MR Club. И вы становитесь...
Достоинства: Достоинства: программа лояльности
Недостатки: Недостатки: пока без)",5
Kolyan892,2023-05-02T16:50:17+03:00,"Мне понравилось взаимодействовать с застройщиком МР групп. Все этапы строительства были организованы на высшем уровне, плюс можно было следить за процессом строительства на сайте и ежемесячно смотреть отчеты в соцсетях. Менеджеры всегда быстро отвечали на...
Достоинства: Достоинства: забота о клиентах, комфортное жилье
Недостатки: Недостатки: нет",5
Oinor,2023-01-25T15:43:53+03:00,"В купленной квартире не было ни холодной ни горячей воды. Техник управляющей компании сказал что вода подается в квартиру он не пойдёт. Квартиру покупали с чистовой отделкой. В потолке наглухо вмонтированы два перекрытых крана горячей...
Достоинства: Достоинства: Чистовая отделка.
Недостатки: Недостатки: Потолки опущены на 23 см. Все трубы под открытыми потолками завязаны узлами. Вентиляция перегнута",1
ocob00,2022-12-10T08:42:05+03:00,"Почитав немногочисленные отзывы, могу точно сказать - компания работает над своей репутацией, сидит на платных отзывах, но таков бизнес. Теперь по сути. качество недвижимости неудовлетворительное. окна все под замену, то что стоит и считается аллюминиевыми...
Достоинства: Достоинства: Дак откудаж
Недостатки: Недостатки: Судя по отзывами жильцов с других ЖК этого застройщика - они одни и теже - вся их недвижимость - сплошной минус",1
Носова Ада,2023-04-06T16:30:11+03:00,"Год назад купила квартиру у МР групп в Селигер Сити. Этап выбора был очень долгим и трепетным. Выбирала квартиры по отзывам знакомых, инфе в интернете и сданным ЖК. По совокупности всех факторов мой выбор пал...
Достоинства: Достоинства: расположение комплексов, уникальные проекты, интересная архитектура
Недостатки: Недостатки: цена на некоторые ЖК",5
Sukalol,2022-10-03T22:26:04+03:00,"Главная проьблема, это окна, их как будто бы и нет. зимой ветер и наледи внутри помещения, осенью и весной душ из воды, так как окна используются как стояк для воды. Рабочие от застройщика утверждают что...
Достоинства: Достоинства: их нет
Недостатки: Недостатки: потреченные деньги и нервы",1
Ivanova95,2022-08-16T12:38:56+03:00,"Купили квартиру в одном из строящихся ЖК от MR Group (Павелецкая Сити) в первую очередь из-за нормальной репутации девелопера. Долго собирали информацию: за ними не значатся заморозки строек и обман дольщиков. Все данные есть в...
Достоинства: Достоинства: Описала)
Недостатки: Недостатки: Серьезных не было)",5
rkmy,2021-01-14T11:38:31+03:00,"Отвратительный застройщик. - Срок сдачи больше чем на полгода задержал - Качество квартиры отвратительное, по гарантии исправляют мелочи. Брали квартиру с отделкой, в квартире плесень, под ламинатом вода, между стенами и рамами окон заливает вода...
Достоинства: Достоинства: Мало
Недостатки: Недостатки: Написал все минусы в отзыве",2
AleKsandraNV,2021-11-15T10:13:17+03:00,"Комплекс сдали без задержек, поэтому сразу преступили к ремонту. По качеству строительства претензий не было, не считая мелкие недочеты, которые застройщик быстро устранил. Брали на старте продаж, по рекомендации друзей, да и компания одна из...
Достоинства: Достоинства: Красивый двор, площадь с фонтаном
Недостатки: Недостатки: Не нашли",5
